Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
29,Non-binary,Bachelor's,Married,77103.0,748.0,42462.0,Home,Unemployed,11,Fair,0.5916587097542768,133521.0,3.0,Wolfeberg,TN,Norfolk Island,1.0,0,Low
53,Male,Master's,Divorced,62876.0,690.0,39134.0,Auto,Employed,9,Good,0.5466924539341621,55565.0,4.0,North Jennifer,DC,Bermuda,4.0,1,Medium
61,Male,PhD,Single,58822.0,782.0,36173.0,Business,Unemployed,7,Poor,0.2197245260238537,141116.0,1.0,Jessicahaven,VI,Malta,4.0,1,High
40,Female,Master's,Widowed,35096.45553729825,641.0,31287.16982495924,Personal,Self-employed,0,Fair,0.4452314778538307,86166.90035027752,3.0,Synthetic,Synthetic,Synthetic,4.0,2,High
20,Non-binary,Bachelor's,Married,189150.0817122104,799.0,99566.99352488278,Auto,Self-employed,9,Excellent,0.18768355189205221,111948.13005713651,1.0,Synthetic,Synthetic,Synthetic,0.0,1,Low
57,Female,PhD,Married,89998.0,765.0,21077.0,Home,Employed,7,Fair,0.2617790655311751,263635.0,4.0,Brittanyside,KS,Cote d'Ivoire,2.0,1,Low
36,Female,PhD,Widowed,32054.0,730.0,30308.0,Auto,Unemployed,7,Good,0.3743278818178832,177862.0,0.0,North Joshuamouth,CO,Nicaragua,3.0,2,Medium
58,Female,High School,Married,55641.17044788121,635.0,78928.47302871378,Home,Self-employed,37,Poor,0.641868008551622,88226.00199761378,0.0,Synthetic,Synthetic,Synthetic,4.0,1,High
64,Non-binary,PhD,Divorced,65395.284330173774,627.0,82874.66492750874,Personal,Employed,14,Fair,0.5030472414644948,10663.478218470778,2.0,Synthetic,Synthetic,Synthetic,2.0,0,High
34,Non-binary,Master's,Divorced,40870.476370184595,683.0,32510.623619854952,Home,Unemployed,6,Fair,0.280791359272457,229899.14873564342,4.0,Synthetic,Synthetic,Synthetic,1.0,1,Medium
26,Female,High School,Widowed,52949.49155206897,593.0,41157.08340509452,Business,Self-employed,17,Fair,0.6720199210986483,3640.503903217851,4.0,Synthetic,Synthetic,Synthetic,4.0,2,High
29,Non-binary,High School,Widowed,65440.0,682.0,43010.0,Personal,Employed,0,Good,0.1273581369205291,156659.0,0.0,West Brandy,NJ,Kuwait,1.0,2,High
33,Male,PhD,Divorced,136256.13565494405,748.0,74689.6021356444,Business,Unemployed,23,Excellent,0.06030614072732828,299551.54981285695,3.0,Synthetic,Synthetic,Synthetic,0.0,2,Low
56,Male,Master's,Widowed,29260.0,672.0,23777.0,Business,Self-employed,19,Fair,0.1797968464489771,116095.0,1.0,Parkermouth,KS,Uzbekistan,4.0,1,High
56,Female,High School,Widowed,63386.0,691.0,21403.0,Auto,Employed,18,Poor,0.28269282,243749.0,3.0,North Christopher,SC,Western Sahara,0.0,2,Medium
68,Non-binary,High School,Married,29212.0,751.0,6012.0,Home,Self-employed,4,Excellent,0.4600834521172383,206514.0,1.0,East Christopher,DE,Cuba,4.0,0,High
20,Female,PhD,Widowed,81321.0,635.0,20942.0,Business,Self-employed,7,Fair,0.3222732113752694,227953.0,1.0,Lake Anita,AZ,Sudan,3.0,0,Low
30,Female,High School,Single,32850.0,606.0,36421.0,Home,Unemployed,5,Good,0.1859678140170977,75563.0,3.0,Hawkinston,GA,Nauru,3.0,2,High
25,Non-binary,Master's,Widowed,41546.404009591286,710.0,28158.48709207648,Business,Self-employed,36,Fair,0.32839093268401137,227520.52239827646,4.0,Synthetic,Synthetic,Synthetic,1.0,1,Medium
26,Male,PhD,Widowed,76100.78933481722,598.0,121079.02259116963,Auto,Unemployed,13,Poor,0.4819048273775825,48244.749764358654,3.0,Synthetic,Synthetic,Synthetic,2.0,2,High
19,Non-binary,Bachelor's,Single,147170.78590859432,784.0,82415.38820066254,Home,Self-employed,0,Good,0.14530230943159403,433763.5134365469,0.0,Synthetic,Synthetic,Synthetic,0.0,1,Low
69,Male,PhD,Divorced,24700.184713421448,633.0,16811.56515088591,Personal,Unemployed,14,Fair,0.6178806685577185,64227.1587181581,5.0,Synthetic,Synthetic,Synthetic,4.0,2,High
29,Male,Bachelor's,Married,47572.0,671.0,44347.0,Personal,Employed,16,Good,0.3335786848569376,147975.0,4.0,New Donna,NE,American Samoa,1.0,2,High
34,Female,High School,Married,61411.0,619.0,11363.0,Auto,Employed,6,Fair,0.27028021950926,251066.0,3.0,North Kennethview,IA,Cayman Islands,0.0,2,Medium
69,Female,High School,Widowed,41165.769108243316,618.0,70375.36805369786,Business,Employed,13,Fair,0.4689163113851853,60975.54105712253,4.0,Synthetic,Synthetic,Synthetic,5.0,2,High
52,Male,Bachelor's,Married,116999.24517560069,777.0,21622.827535541284,Personal,Employed,37,Excellent,0.19352617248875764,442024.7117069448,1.0,Synthetic,Synthetic,Synthetic,0.0,1,Low
35,Non-binary,PhD,Widowed,117104.0,614.0,36254.0,Personal,Unemployed,19,Poor,0.3126552211138226,269711.0,4.0,West Chad,LA,Costa Rica,4.0,0,Medium
66,Male,Bachelor's,Divorced,79893.0,641.0,8341.0,Personal,Employed,5,Excellent,0.1866961399534498,213287.0,4.0,Amberfort,VI,Oman,4.0,0,Medium
26,Male,High School,Married,64025.10611683569,825.0,19478.528113306296,Personal,Employed,25,Excellent,0.1490541930507649,429039.9593734669,5.0,Synthetic,Synthetic,Synthetic,0.0,2,Low
34,Female,High School,Divorced,60711.0,794.0,49036.0,Personal,Employed,2,Excellent,0.2077780456392091,40929.0,0.0,Jamesburgh,AR,French Polynesia,1.0,1,Low
67,Male,Master's,Divorced,64588.0,770.0,24546.0,Personal,Self-employed,3,Poor,0.4508532920582785,30087.0,3.0,Desireetown,VI,Indonesia,2.0,0,Low
21,Female,Bachelor's,Single,37443.0,770.0,38792.0,Home,Employed,6,Fair,0.1758396815744391,274954.0,4.0,South Whitneybury,MN,Grenada,1.0,0,Low
37,Male,High School,Married,25182.1039159621,615.0,14481.585783401239,Personal,Employed,8,Poor,0.6620257040140969,24061.433078439277,1.0,Synthetic,Synthetic,Synthetic,2.0,2,High
64,Non-binary,High School,Single,71957.37347662794,671.0,99109.47366820609,Personal,Employed,11,Good,0.2814045234823392,123834.74820827607,1.0,Synthetic,Synthetic,Synthetic,1.0,0,Medium
43,Non-binary,Master's,Single,77940.0,770.0,29333.0,Home,Self-employed,13,Good,0.2968642850601183,125554.0,1.0,Hayleyshire,HI,Tonga,0.0,1,Medium
43,Male,Master's,Single,58787.0,646.0,31086.0,Auto,Employed,10,Excellent,0.432541239740253,31036.0,0.0,Williamstown,MH,Papua New Guinea,3.0,2,Medium
32,Male,Bachelor's,Divorced,64596.25285643687,641.0,94926.66095512682,Auto,Self-employed,35,Poor,0.52925521666631,21763.489014060866,3.0,Synthetic,Synthetic,Synthetic,3.0,2,High
24,Male,Master's,Divorced,100636.0,725.0,35871.0,Business,Employed,19,Good,0.43325153,75465.0,2.0,Abbottmouth,RI,Algeria,2.0,1,Low
55,Female,Master's,Single,69545.0,621.0,17473.0,Home,Employed,1,Good,0.5860807423549764,66718.0,2.0,New Dawn,OR,Sierra Leone,2.0,2,Medium
23,Female,High School,Married,44718.0,779.0,46897.0,Auto,Employed,9,Excellent,0.4202510299404549,44211.0,2.0,Melissaborough,WV,Suriname,1.0,0,Medium
42,Male,Bachelor's,Widowed,90359.31962482064,670.0,40661.895431555095,Business,Unemployed,4,Good,0.2834836718856081,105094.34764423268,4.0,Synthetic,Synthetic,Synthetic,1.0,2,Medium
48,Female,Master's,Married,88324.0,649.0,31306.0,Business,Employed,19,Fair,0.5680779216086443,162981.0,1.0,Williamsland,FM,Czech Republic,4.0,2,High
43,Male,Bachelor's,Married,115341.0,667.0,43640.0,Business,Employed,4,Good,0.556176885,98873.0,0.0,Lake Caitlin,MO,South Africa,3.0,1,Low
46,Female,High School,Divorced,79577.0,687.0,31009.0,Home,Self-employed,3,Fair,0.1235771766670546,138916.0,3.0,Floresland,KS,Maldives,2.0,0,Low
56,Male,High School,Widowed,106153.0,710.0,9178.0,Auto,Unemployed,15,Excellent,0.165958873710801,244008.0,3.0,Georgeshire,NM,Congo,4.0,0,Low
39,Male,High School,Divorced,57342.99483762766,645.0,95043.28415514238,Personal,Employed,35,Poor,0.6687103070631037,11062.923156500437,1.0,Synthetic,Synthetic,Synthetic,3.0,2,High
30,Non-binary,PhD,Divorced,29376.039076748857,649.0,47735.726162031395,Home,Employed,5,Fair,0.4830751295051017,69261.87555930368,5.0,Synthetic,Synthetic,Synthetic,5.0,0,High
61,Male,Master's,Divorced,81271.0,659.0,32241.0,Home,Unemployed,5,Good,0.1278719814242579,118172.0,4.0,Port Lori,AK,Serbia,1.0,0,Low
20,Female,High School,Single,69788.91316043318,629.0,111859.45467311736,Personal,Employed,21,Fair,0.4183528249886642,65677.48174234535,2.0,Synthetic,Synthetic,Synthetic,2.0,1,High
46,Female,Bachelor's,Single,102507.57068376208,686.0,74292.62824423505,Business,Unemployed,28,Good,0.27261755028094636,73795.5509492902,2.0,Synthetic,Synthetic,Synthetic,1.0,2,Medium
31,Non-binary,Master's,Married,22693.0,618.0,48819.0,Auto,Unemployed,18,Poor,0.5453207048636839,61380.0,1.0,Christinafurt,TX,Armenia,2.0,0,Low
69,Male,PhD,Widowed,112351.86171339132,787.0,67977.24723841378,Auto,Self-employed,25,Good,0.16120844113968813,298309.9561397964,4.0,Synthetic,Synthetic,Synthetic,0.0,1,Low
30,Male,High School,Widowed,81810.0,765.0,23004.0,Personal,Self-employed,10,Poor,0.3144131971826315,170142.0,1.0,South Janet,WA,Belarus,2.0,0,Low
48,Female,Bachelor's,Divorced,95546.98092536861,682.0,82178.28680901029,Home,Employed,39,Good,0.3817486600230957,245844.48312938277,1.0,Synthetic,Synthetic,Synthetic,1.0,0,Medium
64,Non-binary,High School,Divorced,85573.0,667.0,14241.0,Business,Employed,16,Fair,0.3234891966664479,230858.0,0.0,East Angelaburgh,AS,British Virgin Islands,1.0,1,Medium
55,Non-binary,PhD,Divorced,67958.7266896212,646.0,134874.52951773792,Auto,Self-employed,2,Fair,0.6251804659240965,62400.58642855888,4.0,Synthetic,Synthetic,Synthetic,2.0,2,High
44,Non-binary,Master's,Widowed,43940.0,676.0,20870.0,Auto,Self-employed,17,Poor,0.317081695866072,280222.0,4.0,Elliottside,GA,Saint Martin,3.0,2,Low
19,Male,High School,Single,54553.0,625.0,45070.0,Home,Employed,4,Good,0.4312862146448678,199439.0,1.0,East Sarahport,CT,Saint Pierre and Miquelon,3.0,1,Low
18,Female,PhD,Divorced,93746.0,684.0,14545.0,Business,Employed,17,Good,0.4472823513455047,180565.0,0.0,Jonesside,OR,Mozambique,2.0,0,Medium
56,Male,Master's,Single,22042.0,713.0,9191.0,Personal,Self-employed,18,Fair,0.2612898648053239,154372.0,1.0,Port Michaelmouth,TN,Comoros,2.0,2,High
35,Male,Master's,Divorced,90342.0,774.0,20286.0,Home,Self-employed,1,Good,0.5243432318417751,91941.0,3.0,Woodberg,MH,Guyana,0.0,0,Medium
50,Non-binary,PhD,Widowed,28262.0,755.0,36543.0,Home,Employed,9,Fair,0.2503245467763096,261596.0,2.0,Schmidtview,SD,Svalbard & Jan Mayen Islands,0.0,1,Low
54,Non-binary,Master's,Widowed,101393.0,636.0,36262.0,Home,Employed,5,Fair,0.1555608987160377,60626.0,4.0,Stevensport,IN,Guyana,4.0,0,Low
64,Female,PhD,Divorced,48906.0,627.0,7733.0,Home,Employed,15,Fair,0.3655506410220817,73698.0,3.0,Castillohaven,MH,Timor-Leste,2.0,0,Low
68,Non-binary,PhD,Widowed,32429.473380759202,645.0,49057.10138474401,Home,Self-employed,8,Fair,0.5168205193096911,29522.537939089045,4.0,Synthetic,Synthetic,Synthetic,2.0,2,High
42,Female,Master's,Widowed,90393.0,641.0,47582.0,Home,Employed,19,Fair,0.1574925971717577,149662.0,4.0,Laurenstad,MN,Samoa,4.0,2,Low
23,Male,Bachelor's,Single,31526.15586191244,591.0,28804.487217603284,Home,Self-employed,0,Poor,0.6219351968827356,83067.13523487444,5.0,Synthetic,Synthetic,Synthetic,2.0,1,High
43,Non-binary,PhD,Single,89131.0,629.0,8138.0,Personal,Unemployed,10,Excellent,0.3837705791015968,115995.0,0.0,Daviesmouth,MN,Norway,2.0,1,High
43,Female,Master's,Single,34821.0,775.0,22889.0,Personal,Unemployed,18,Good,0.1187215803827614,278194.0,0.0,Lake James,MD,Niue,3.0,2,High
47,Non-binary,Master's,Single,36689.0,743.0,10269.0,Auto,Employed,7,Fair,0.2486146390973155,127982.0,2.0,Mariaport,NV,Central African Republic,4.0,0,Low
67,Female,High School,Married,57203.0,645.0,21717.0,Business,Employed,10,Fair,0.1503520587336072,153491.0,3.0,West Melissa,TX,Ecuador,3.0,1,Medium
64,Male,PhD,Divorced,64264.0,637.0,41309.0,Business,Employed,11,Poor,0.179430967385678,23141.0,0.0,North Maryhaven,IN,Martinique,1.0,1,Medium
49,Female,Master's,Single,73257.0,790.0,39935.0,Home,Self-employed,7,Poor,0.5465613007397047,49405.0,4.0,Ruizmouth,AK,Tunisia,0.0,1,Low
18,Male,Bachelor's,Married,94460.0,764.0,17838.0,Business,Employed,18,Good,0.3815893241652779,154966.0,1.0,New Jeremy,WA,Zambia,3.0,2,Low
64,Female,High School,Divorced,111963.0,734.0,20300.0,Auto,Unemployed,7,Poor,0.390625168,137461.0,3.0,South William,DC,Nigeria,0.0,1,Low
62,Non-binary,Master's,Married,103911.0,645.0,46612.0,Personal,Unemployed,11,Poor,0.5835747084384948,223298.0,0.0,Johnsonbury,UT,Seychelles,4.0,0,Low
64,Male,Bachelor's,Single,70241.0,735.0,24082.0,Home,Unemployed,3,Poor,0.2564252625579143,182365.0,4.0,Mckeeburgh,OH,Bermuda,0.0,2,Low
62,Female,High School,Divorced,55829.0,656.0,27054.0,Home,Self-employed,16,Poor,0.4167632931966455,241404.0,4.0,Chelseachester,UT,Macao,1.0,2,Low
24,Non-binary,PhD,Single,26490.0,700.0,41963.0,Auto,Self-employed,8,Fair,0.5634464099288878,208578.0,4.0,Lake Haleystad,DC,Lithuania,1.0,1,Low
48,Male,Bachelor's,Married,114401.88711116122,830.0,93891.22625278366,Auto,Self-employed,25,Good,0.08700546816038698,343886.6766280439,3.0,Synthetic,Synthetic,Synthetic,0.0,2,Low
58,Female,Bachelor's,Divorced,30832.0,748.0,7377.0,Home,Unemployed,8,Fair,0.1252384472785889,44084.0,1.0,Coreyshire,OK,Bolivia,2.0,2,Low
36,Male,Bachelor's,Widowed,119656.0,710.0,39405.0,Auto,Self-employed,5,Fair,0.5702300967781956,216575.0,1.0,New Patricialand,MH,Armenia,0.0,1,Low
61,Male,Bachelor's,Married,77773.0,656.0,26905.0,Auto,Unemployed,9,Good,0.5658355594080973,288851.0,1.0,North Taylor,ND,British Virgin Islands,0.0,1,High
54,Non-binary,PhD,Single,97193.0,643.0,7792.0,Business,Self-employed,14,Excellent,0.3823515006999725,223439.0,3.0,South Amberbury,HI,Tokelau,4.0,2,Medium
45,Male,Master's,Widowed,69527.0,689.0,20098.0,Home,Unemployed,0,Poor,0.1769833179878352,69761.0,4.0,West Jeffreyville,MP,Sudan,1.0,1,Low
57,Female,Master's,Single,26674.0,747.0,18331.0,Business,Employed,5,Poor,0.3958965571971965,140640.0,4.0,Timothyton,VA,Tunisia,2.0,0,Medium
55,Male,Master's,Married,76152.0,746.0,17372.0,Home,Self-employed,10,Good,0.1921455339557934,175519.0,2.0,Heatherview,CA,Estonia,0.0,0,Low
47,Non-binary,Bachelor's,Married,28382.0,600.0,47424.0,Home,Employed,16,Poor,0.4760696270851421,72031.0,2.0,Chapmanhaven,MH,Libyan Arab Jamahiriya,3.0,1,Low
35,Female,High School,Married,59739.66952234496,702.0,34023.24119413386,Home,Self-employed,17,Fair,0.24521897255229141,117394.85196568635,1.0,Synthetic,Synthetic,Synthetic,1.0,1,Medium
56,Male,PhD,Single,68917.0,645.0,47583.0,Auto,Unemployed,14,Poor,0.5173946296735386,94177.0,1.0,Grayport,OH,Panama,4.0,1,High
25,Female,Master's,Married,113878.0,612.0,15069.0,Home,Employed,15,Good,0.2445758929981502,250887.0,1.0,Martinfurt,AL,Equatorial Guinea,1.0,0,Low
63,Female,High School,Divorced,96879.7425155413,686.0,79959.97025363242,Auto,Employed,29,Fair,0.3930273589416886,114216.67107922267,4.0,Synthetic,Synthetic,Synthetic,1.0,1,Medium
69,Female,High School,Widowed,30719.0,787.0,10257.0,Business,Self-employed,10,Poor,0.4415735476527327,100562.0,2.0,Younghaven,VT,Afghanistan,3.0,2,Medium
